asv	Vp_Ur_S1_S1	Vp_Ur_S2_S2	Vp_Ur_S3_S3	Vp_Ur_S4_S4	Vp_Ur_S5_S5	Vp_Ur_F1_S6	Vp_Ur_F2_S7	Vp_Ur_F3_S8	Vp_Ur_F4_S9	Vp_Ur_F5_S10	Vp_Ur_J1_S11	Vp_Ur_J2_S12	Vp_Ur_J3_S13	Vp_Ur_J4_S14	Vp_Ur_J5_S15	Vp_Ur_A1_S16	Vp_Ur_A2_S17	Vp_Ur_A3_S18	Vp_Ur_A4_S19	Vp_Ur_A5_S20	Vp_S_S1_S21	Vp_S_S2_S22	Vp_S_S3_S23	Vp_S_S4_S24	Vp_S_S5_S25	Vp_S_F1_S26	Vp_S_F2_S27	Vp_S_F3_S28	Vp_S_F4_S29	Vp_S_F5_S30	Vp_S_J1_S31	Vp_S_J2_S32	Vp_S_J3_S33	Vp_S_J4_S34	Vp_S_J5_S35	Vp_S_A1_S36	Vp_S_A2_S37	Vp_S_A3_S38	Vp_S_A4_S39	Vp_S_A5_S40	Vn_Dsh_S1_S35	Vn_Ur_S1_S41	Vn_Dsh_S2_S43	Vn_Ur_S2_S42	Vn_Dsh_S3_S51	Vn_Ur_S3_S43	Vn_Dsh_S4_S59	Vn_Ur_S4_S44	Vn_Dsh_S5_S67	Vn_Ur_S5_S45	Vn_Dsh_F1_S75	Vn_Ur_F1_S46	Vn_Dsh_F2_S82	Vn_Ur_F5_S47	Vn_Dsh_F3_S89	Vn_Ur_J1_S48	Vn_Dsh_F4_S5	Vn_Ur_J2_S49	Vn_Dsh_F5_S12	Vn_Ur_J3_S50	Vn_Dsh_J1_S20	Vn_Ur_J4_S51	Vn_Dsh_J2_S28	Vn_Ur_J5_S52	Vn_Dsh_J3_S36	Vn_Ur_A1_S53	Vn_Dsh_J4_S44	Vn_Ur_A2_S54	Vn_Dsh_J5_S52	Vn_Ur_A3_S55	Vn_Dsh_A1_S60	Vn_Ur_A4_S56	Vn_Dsh_A2_S68	Vn_Ur_A5_S57	Vn_Dsh_A3_S76	Vn_S_S1_S58	Vn_Dsh_A4_S83	Vn_S_S2_S59	Vn_S_S3_S60	Vn_S_S4_S61	Vn_S_F1_S62	Vn_S_F2_S63	Vn_S_F3_S64	Vn_S_F4_S65	Vn_S_F5_S66	Vn_S_J1_S67	Vn_S_J2_S68	Vn_S_J3_S69	Vn_S_J4_S70	Vn_S_J5_S71	Vn_S_A1_S72	Vn_S_A2_S73	Vn_S_A3_S74	Vn_S_A4_S75	Vn_S_A5_S76	Vt_Ur_S1_S77	Vt_Ur_S2_S78	Vt_Ur_S3_S79	Vt_Ur_S4_S80	Vn_Ar_S1_S70	Vt_Ur_S5_S81	Vn_Ar_S2_S78	Vt_Ur_F1_S82	Vn_Ar_S3_S85	Vt_Ur_F2_S83	Vn_Ar_S4_S92	Vt_Ur_F3_S84	Vt_Ur_F4_S85	Vn_Ar_F1_S15	Vt_Ur_F5_S86	Vn_Ar_F2_S23	Vt_Ur_J1_S87	Vn_Ar_F3_S31	Vt_Ur_J2_S88	Vn_Ar_F4_S39	Vt_Ur_J3_S89	Vn_Ar_F5_S47	Vt_Ur_J4_S90	Vn_Ar_J1_S55	Vt_Ur_J5_S91	Vn_Ar_J2_S63	Vt_Ur_A1_S92	Vn_Ar_J3_S71	Vt_Ur_A2_S93	Vn_Ar_J4_S93	Vt_Ur_A3_S94	Vn_Ar_J5_S101	Vt_Ur_A4_S95	Vn_Ar_A1_S109	Vt_Ur_A5_S96	Vn_Ar_A2_S117	Vt_Ur_A6_S97	Vn_Ar_A3_S125	Vt_S_S1_S98	Vt_S_S2_S99	Vn_Ar_A5_S136	Vt_S_S3_S100	Vt_S_S4_S101	Vt_S_F2_S102	Vt_S_F3_S103	Vt_S_F4_S104	Vt_S_F5_S105	Vt_S_J1_S106	Vt_S_J2_S107	Vt_S_J4_S108	Vt_S_J5_S109	Vt_S_A1_S110	Vt_S_A2_S111	Vt_S_A3_S112	Vt_S_A4_S113	Vt_S_A5_S114	Vi_Ur_S1_S115	Vi_Ur_S2_S116	Vi_Ur_S3_S117	Vi_Ur_S4_S118	Vi_Ur_F1_S119	Vi_Ur_F2_S120	Vi_Ur_F3_S121	Vi_Ur_F4_S122	Vi_Ur_F5_S123	Vi_Ur_J1_S124	Vi_Ur_J2_S125	Vi_Ur_J3_S126	Vi_Ur_J4_S127	Vi_Ur_J5_S128	Vi_Ur_A1_S129	Vi_Ur_A2_S130	Vi_Ur_A3_S131	Vi_Ur_A4_S132	Vi_Ur_A5_S133	Vi_S_S1_S134	Vi_S_S2_S135	Vi_S_S3_S136	Vi_S_S4_S137	Vi_S_F1_S138	Vi_S_F2_S139	Vi_S_F3_S140	Vi_S_F4_S141	Vi_S_F5_S142	Vi_S_J1_S143	Vi_S_J2_S144	Vi_S_J3_S145	Vi_S_J4_S146	Vi_S_J5_S147	Vi_S_A1_S148	Vi_S_A2_S149	Vi_S_A3_S150	Vi_S_A4_S151	Vi_S_A5_S152	Vn_Lb_S1_S153	Vn_Lb_S2_S154	Vn_Lb_S4_S155	Vn_Lb_S4_S156	Vn_Lb_S5_S157	Vn_Lb_F1_S158	Vn_Lb_F2_S159	Vn_Lb_F3_S160	Vn_Lb_F4_S161	Vn_Lb_F5_S162	Vn_Lb_J1_S163	Vn_Lb_J2_S164	Vn_Lb_J3_S165	Vn_Lb_J4_S166	Vn_Lb_J5_S167	Vn_Lb_A1_S168	Vn_Lb_A2_S169	Vn_Lb_A3_S170	Vn_Lb_A4_S171	Vn_Lb_A5_S172	Vt_Lb_S1_S173	Vt_Lb_S2_S174	Vt_Lb_S3_S175	Vt_Lb_S4_S176	Vt_Lb_S5_S177	Vt_Lb_F1_S178	Vt_Lb_F2_S179	Vt_Lb_F3_S180	Vt_Lb_F4_S181	Vt_Lb_F5_S182	Vt_Dsh_S1_S135	Vt_Lb_J1_S183	Vt_Dsh_S2_S143	Vt_Lb_J2_S184	Vt_Dsh_S3_S151	Vt_Lb_J3_S185	Vt_Dsh_S4_S159	Vt_Lb_J4_S186	Vt_Dsh_S5_S181	Vt_Lb_J5_S187	Vt_Dsh_F1_S189	Vt_Lb_A1_S188	Vt_Dsh_F2_S197	Vt_Lb_A2_S189	Vt_Lb_A3_S190	Vt_Dsh_F4_S212	Vt_Lb_A4_S191	Vt_Dsh_F5_S220	Vt_Lb_A5_S192	Vt_Dsh_J1_S228	Vt_Lb_A6_S193	Vt_Dsh_J2_S236	Vi_Lb_S1_S194	Vi_Lb_S2_S195	Vt_Dsh_J4_S252	Vi_Lb_S3_S196	Vi_Lb_S4_S197	Vt_Dsh_A1_S265	Vi_Lb_F1_S198	Vt_Dsh_A2_S182	Vi_Lb_F2_S199	Vt_Dsh_A3_S190	Vi_Lb_F3_S200	Vt_Dsh_A4_S198	Vi_Lb_F4_S201	Vi_Lb_F5_S202	Vt_Dsh_A6_S213	Vi_Lb_J1_S203	Vi_Lb_J2_S204	Vi_Lb_J3_S205	Vi_Lb_J4_S206	Vi_Lb_J5_S207	Vi_Lb_A1_S208	Vi_Lb_A2_S209	Vi_Lb_A3_S210	Vi_Lb_A4_S211	Vi_Lb_A5_S212	Vp_Lb_S1_S213	Vp_Lb_S2_S214	Vp_Lb_S3_S215	Vp_Lb_S4_S216	Vp_Lb_S5_S217	Vp_Lb_F1_S218	Vp_Lb_F2_S219	Vp_Lb_F3_S220	Vp_Lb_F4_S221	Vp_Lb_F5_S222	Vp_Lb_J1_S223	Vp_Lb_J2_S224	Vp_Lb_J3_S225	Vt_Ar_S2_S207	Vp_Lb_J4_S226	Vt_Ar_S3_S215	Vp_Lb_J5_S227	Vt_Ar_S4_S223	Vp_Lb_A1_S228	Vt_Ar_S5_S231	Vp_Lb_A2_S229	Vt_Ar_F1_S239	Vp_Lb_A3_S230	Vt_Ar_F2_S247	Vp_Lb_A4_S231	Vt_Ar_F3_S255	Vp_Lb_A5_S232	Vt_Ar_F4_S261	Vt_Ar_F5_S268	Vt_Ar_J1_S185	Vt_Ar_J2_S193	Vt_Ar_J4_S208	Vt_Ar_J5_S216	Vt_Ar_A1_S224	Vt_Ar_A2_S232	Vt_Ar_A3_S240	Vt_Ar_A4_S248	Vt_Ar_A5_S256	Vt_Ar_A6_S262	Vi_Dsh_S1_S71	Vi_Dsh_S2_S79	Vi_Dsh_S4_S86	Vi_Dsh_F2_S5	Vi_Dsh_F4_S19	Vi_Dsh_F5_S27	Vi_Dsh_J1_S35	Vi_Dsh_J2_S43	Vi_Dsh_J3_S51	Vi_Dsh_J4_S58	Vi_Dsh_A1_S72	Vi_Dsh_A2_S80	Vi_Dsh_A3_S87	Vi_Dsh_A4_S6	Vi_Ar_S1_S74	Vi_Ar_S2_S81	Vi_Ar_S3_S89	Vi_Ar_S4_S8	Vi_Ar_F1_S14	Vi_Ar_F2_S22	Vi_Ar_F3_S30	Vi_Ar_F4_S38	Vi_Ar_F5_S46	Vi_Ar_J1_S75	Vi_Ar_J2_S82	Vi_Ar_J3_S90	Vi_Ar_J4_S91	Vi_Ar_J5_S99	Vi_Ar_A2_S115	Vi_Ar_A3_S123	Vi_Ar_A5_S134	Vp_Dsh_S1_S106	Vp_Dsh_F1_S141	Vp_Dsh_F2_S149	Vp_Dsh_F3_S157	Vp_Dsh_F5_S187	Vp_Dsh_J1_S195	Vp_Dsh_J2_S203	Vp_Dsh_J3_S211	Vp_Dsh_J4_S219	Vp_Dsh_J5_S227	Vp_Dsh_A1_S235	Vp_Dsh_A2_S243	Vp_Dsh_A3_S250	Vp_Dsh_A4_S257	Vp_Dsh_A5_S264	Vp_Ar_S1_S245	Vp_Ar_S2_S252	Vp_Ar_S3_S259	Vp_Ar_S4_S266	Vp_Ar_S5_S182	Vp_Ar_F1_S190	Vp_Ar_F2_S198	Vp_Ar_F3_S206	Vp_Ar_F4_S214	Vp_Ar_F5_S222	Vp_Ar_J1_S230	Vp_Ar_J2_S238	Vp_Ar_J3_S246	Vp_Ar_J4_S253	Vp_Ar_J5_S260	Vp_Ar_A1_S267	Vp_Ar_A2_S183	Vp_Ar_A3_S191	Vp_Ar_A4_S199	Vp_Ar_A5_S207
asv00001	128	282	485	80	274	2496	233	313	226	588	244	380	379	691	294	124	275	342	120	320	742	519	227	240	1002	204	1004	385	945	376	240	429	1778	211	1558	796	428	374	177	565	0	763	0	1085	52	418	0	582	0	572	0	942	215	389	41	1180	0	699	62	107	21	0	2	1396	33	187	3	234	12	212	0	0	0	186	55	186	132	670	313	139	1882	181	771	498	2041	216	220	268	566	848	694	467	188	117	340	305	1198	785	2418	0	1692	0	948	0	109	0	473	395	0	1257	0	568	5	402	6	411	0	526	0	770	0	573	11	151	0	155	0	243	2	881	0	64	0	596	1066	0	2918	1349	1234	114	261	840	336	379	1031	694	402	219	649	647	270	6507	2910	1467	2021	1849	1181	965	1332	2144	1682	165	957	501	219	1057	726	204	78	769	335	414	1530	242	464	472	1349	329	1312	192	149	415	509	91	476	492	96	204	274	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	243	0	31	0	11	434	0	0	0	0	0	0	0	6	0	38	0	0	0	5	0	0	73	0	0	0	0	7	1281	7	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	132	48	0	38	0	5	0	90	29	0	0	0	0	0	0	0	60	0	1331	0	0	0	31	0	0	0	0	0	151	0	0	0	32	0	7	0	16	0	5	0	0	6	0	0	0	6	0	0	0	52	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv00002	41	54	36	56	71	62	83	113	64	296	32	124	27	148	15	13	48	239	87	88	35	57	12	79	67	159	49	70	101	50	126	147	199	378	1038	180	85	257	108	45	0	0	0	0	0	8	0	13	0	0	0	118	0	43	0	35	0	73	0	0	0	0	0	15	0	0	0	20	0	5	0	0	0	0	0	0	0	5	0	0	48	19	43	122	9	12	67	47	0	95	38	0	22	0	27	0	0	0	0	0	0	0	0	0	10	0	27	52	0	27	0	17	0	77	0	31	0	35	0	6	0	0	0	0	0	27	0	14	0	26	0	0	0	7	0	0	0	3	158	58	86	32	115	127	175	159	53	36	0	19	160	8	0	0	53	45	43	54	44	94	40	42	38	18	34	17	15	20	176	152	12	12	25	8	40	38	47	27	6	7	62	67	17	112	3	49	35	133	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
asv00003	123	79	18	278	20	793	289	821	84	760	161	93	83	48	124	44	91	146	11	74	334	220	127	52	343	57	605	45	464	190	126	229	536	118	193	249	259	294	53	136	10	456	0	109	526	54	0	39	0	342	96	859	2284	419	1732	106	0	8	1228	55	205	9814	88	0	289	64	22	99	54	23	44	9252	4	316	1113	188	901	187	405	135	2420	257	409	860	634	20	33	71	392	25	376	285	47	298	30	1094	166	132	69	29	79	0	120	0	89	28	100	113	0	181	11	44	15	139	20	12	0	197	0	0	117	79	28	0	0	13	0	36	15	358	13	26	25	95	833	20	1232	321	521	104	281	478	355	144	853	536	197	102	761	1423	185	88	4157	151	163	104	333	36	36	163	26	7	17	36	48	21	25	26	12	10	38	12	631	34	74	238	432	99	302	63	44	112	65	63	171	318	282	90	127	287	14281	22831	1045	3458	23665	11387	16485	14291	28394	12618	4769	1396	6744	101	4834	4220	3584	656	25001	11579	30361	3469	35462	16260	29452	80899	18575	41875	21146	2241	14976	2608	20995	950	26372	194	7211	16	23128	31	13696	366	33434	20711	442	42430	524	5829	0	28434	264	60475	1096	198	107	120792	0	3747	412	15	1005	42932	0	18480	16917	891	11553	43749	10994	12628	35966	0	2380	2653	2580	61	29695	15844	17553	34578	21050	10269	17765	10177	24085	19791	29393	16713	21263	0	41116	0	1608	0	2333	0	4661	0	15953	0	1617	0	59682	43	0	5	0	26	0	0	0	0	0	21	0	2031	518	50	11211	271	7	0	1332	11	590	157	368	51	2551	14	0	0	544	10	168	24	166	26	16	0	13	8	16	0	0	0	0	108	7	1839	639	779	0	16	0	0	9	0	0	0	265	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv00004	655	499	1208	868	860	2856	1222	738	1195	2044	664	2335	1161	1662	667	1303	989	2125	734	1116	1688	1239	936	622	1069	507	889	505	1365	1364	790	957	1639	1367	2023	1278	1091	1777	764	1926	0	676	0	840	103	556	0	581	0	1318	0	1441	22	1133	0	2463	0	1075	38	527	0	566	0	2153	0	690	12	1381	26	549	0	0	0	173	0	415	281	1023	205	917	1093	767	1480	2312	527	672	568	886	1078	2391	1245	1333	441	461	764	977	1487	1734	3558	0	3137	0	3086	0	1234	0	1108	1178	0	1322	0	774	0	1053	0	964	0	1546	0	1572	0	1613	0	879	0	1230	0	969	0	1929	0	1138	0	1496	372	0	1793	1397	3504	713	1282	1289	1855	855	1186	2092	1757	1268	1200	1840	1290	1421	1336	1341	1383	1408	1751	1170	1210	911	1103	1597	1150	1266	1341	1004	1007	1481	1791	2835	914	1467	695	1132	664	717	1149	1543	739	947	780	1136	782	1133	1177	2094	1001	1061	811	0	0	58	0	0	270	0	18	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	20	0	23	0	10	12	0	0	75	0	0	0	0	0	0	0	87	0	235	0	0	0	113	0	0	0	0	0	0	0	0	0	1275	54	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	1998	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	35	0	0	0	8	0	11	569	0	0	0	0	18	24	133	0	0	0	47	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	24	0	20	0	15	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	38	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv00005	1089	528	1235	801	933	2515	1055	1854	1218	1452	728	2077	1136	1471	486	1459	1498	1671	1132	1462	900	756	580	532	1440	730	1045	1147	1552	1179	455	1224	1923	1382	2845	2015	1817	2084	757	2128	0	1337	0	1220	0	1069	0	1226	0	2345	0	3256	217	1645	0	2944	0	2196	0	859	7	804	0	2985	0	689	0	1668	0	1257	0	616	0	534	0	896	142	1166	360	1115	2812	1281	3331	1730	894	819	1042	1074	1990	1530	2205	1030	823	1887	1272	1235	1811	1201	4230	0	2901	0	2516	0	1073	0	1446	986	0	2264	0	754	0	1899	0	920	0	3572	0	1933	0	567	0	1110	0	1934	0	1393	0	1422	0	1135	0	696	1350	0	1645	1028	2778	732	2164	2609	2051	981	1931	1625	1125	704	2267	2082	838	1836	2173	1685	1370	1562	2011	1658	1162	1065	1333	895	627	1371	855	1153	1677	2534	1813	3168	1057	1490	811	708	1011	1462	1807	2952	1154	1042	969	1191	1137	666	1196	1866	825	2077	2148	0	0	0	0	351	3551	596	2414	2785	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	293	0	0	0	36	0	0	321	0	0	197	2472	0	2615	0	0	0	0	406	39	0	566	0	13	134	0	0	0	0	0	0	0	0	11	1863	7	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2388	6576	0	0	0	3203	0	0	0	31	0	101	0	0	0	32	0	0	805	0	0	96	0	106	0	0	53	81	22	0	5	0	5	0	6	0	46	0	0	0	19	0	22	0	0	0	157	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv00006	2829	2991	3734	2230	3874	9446	2280	2342	4157	4699	1717	8305	1710	4369	1116	6014	5941	7266	3131	4962	3490	2035	1575	1267	2238	1576	3190	1830	3789	3725	1999	2972	6617	2407	6127	4776	3573	5728	1935	2562	0	6262	0	6641	101	2548	0	5197	0	7440	0	7961	25	4674	31	11060	0	5443	0	2884	0	422	0	7161	22	1606	7	4572	16	2463	0	3769	0	749	0	2511	156	2630	1174	2780	5026	3436	7110	3315	2912	2281	2691	2999	6091	8013	4435	4484	2183	5307	3124	3273	3915	2117	7840	0	4015	64	4697	0	2879	115	3352	3847	0	6228	0	1603	28	4344	0	2285	0	6747	5	5491	13	2998	105	1885	24	10269	0	1979	0	2357	0	1478	19	1690	3738	0	3639	2739	4719	1573	3441	5205	5563	1885	4679	4202	2916	3813	4592	4819	3915	5712	4171	4437	3342	6960	5078	4297	2928	3350	3377	7676	4343	3699	6099	3728	5552	6995	13766	16996	2486	2365	2056	2506	4544	3257	4818	4499	3334	2913	2891	3510	3611	3300	3737	4636	2923	4654	3873	0	0	153	0	0	0	2249	150	0	0	0	0	0	0	0	0	0	0	0	0	0	3120	1977	0	0	0	0	0	0	0	0	3073	870	0	0	0	0	1368	0	0	21	0	0	0	121	5	1568	263	465	4	2508	0	12764	0	0	0	0	0	0	17	3864	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2712	0	0	0	0	8077	0	125	0	106	0	230	0	0	0	40	0	0	3091	0	0	3	0	319	0	0	315	0	56	52	0	0	0	0	4	0	0	0	0	0	11	0	0	7	2	0	2	0	114	46	0	20	0	53	4	0	83	270	0	43	219	0	0	59	0	55	0	0	0	44	0	0	4	0	167	0	7	0	53	112	27	41	70	76	35	55	0	229	0	28	0	84	115	79	134	0	0	3	324
asv00007	224	553	271	299	251	902	279	129	804	1258	30	1295	461	254	111	650	638	557	638	671	804	440	118	286	1394	549	474	362	447	473	430	367	1872	1673	2774	1123	794	915	369	511	0	65	0	33	0	79	0	17	0	22	0	246	0	284	0	192	0	140	14	50	0	537	0	61	0	0	0	64	0	5	0	1273	0	0	0	48	0	52	2	10	102	89	120	193	116	280	162	157	91	340	1353	30	204	58	386	24	40	39	50	0	103	0	319	0	421	0	364	502	0	146	0	117	0	204	20	113	0	275	0	97	0	169	0	150	0	160	0	99	0	175	0	35	0	204	11	0	61	214	386	198	377	440	498	632	963	439	314	354	71	204	470	48	67	40	248	313	333	459	204	301	122	266	261	138	236	94	176	119	200	476	181	818	320	707	430	364	146	418	54	138	557	410	319	348	402	249	68	239	39	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	15	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	24	0	0	14	0	0	0	0	0	0	0	0	5	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	3	0	0	0	0	0
asv00008	66449	57059	57977	72813	77707	56946	57992	49692	59490	139041	43878	116606	60815	59522	27748	66452	104341	99195	70828	95791	98912	57354	38216	49890	119148	59693	73632	48806	68319	97718	47820	62972	135466	114903	168714	118110	87827	143059	64117	81157	0	65187	0	61430	48	32216	0	57524	0	65471	0	95203	490	71796	53	173175	0	98137	333	39292	7	22004	14	115821	364	37426	0	81085	73	31687	0	42291	3	16825	33	47975	656	57374	19807	54549	104005	65156	169545	107648	58049	61599	56270	70889	98051	139633	132021	101122	52511	85952	63906	51002	80768	50766	178384	44	110316	99	109514	0	76336	101	74096	70817	0	96967	0	50846	13	104219	78	63903	2	131800	4	92893	296	50837	484	90910	9	76468	0	45259	4	80935	3	74821	17	71405	43092	81	114661	72273	109144	53149	88972	110603	139731	66877	145224	125311	114665	119576	79278	111464	97630	70265	54528	50152	69382	64380	107143	86919	69704	64624	58836	48394	48792	67859	56015	67558	48190	88434	63639	184568	50108	81674	47895	78848	70152	95060	79980	136913	53903	53241	50408	73100	71000	56912	70467	93852	43495	83231	75998	637	346	9085	6725	6690	4372	6658	6256	4090	9284	0	0	0	5350	12446	5503	42	0	4155	2759	7368	5129	12743	14097	372	286	4528	72	496	2279	167	13457	448	4481	35	1552	71	21769	15	6529	0	779	87	0	8302	88	3402	74	0	7	13462	113	20529	29251	8	3111	0	0	0	12	74824	204	0	0	30880	0	196	0	0	0	11612	8107	0	0	0	0	0	1450	13829	24698	21632	2533	2429	40911	10701	1624	14710	12208	43151	4606	81	90	0	0	717	14228	0	11607	16	2388	14	58413	23	4425	67	0	51	161	219	226	4	0	684	11	67	0	3	3	0	16	30	0	0	48	0	23	5	4	5	35	0	448	3	307	0	0	0	0	0	133	327	2	116	107	0	0	2288	0	0	10	6	60	958	0	5	0	0	39	0	0	0	42	32	0	15	22	53	28	143	0	267	3	0	0	109	46	14	24	0	26	0	152
asv00009	2094	1150	747	846	1402	64	757	640	102	1728	1525	2704	1020	1138	1040	1813	759	2610	581	1055	2316	1710	1719	1740	2576	1261	2452	1106	503	2886	1941	3112	8019	1500	5817	6932	1976	11992	1168	4094	0	4469	0	1691	12	1128	0	1101	0	2455	0	960	0	1225	0	7798	0	9039	0	4206	6	1309	0	3410	12	1029	0	1943	0	1757	0	1072	0	0	0	4096	9	4555	3288	7101	5891	2828	10020	5239	4187	3736	3424	5534	14866	7225	7652	9994	4533	11098	4259	1311	5315	1665	9723	0	5213	0	1658	0	1969	0	1231	526	0	2478	0	1648	0	2912	0	1185	0	5022	0	2201	0	7	110	2181	0	556	0	886	0	1155	0	2165	0	2131	5806	30	3351	3378	2332	1287	2165	3052	4985	1797	5913	4668	2849	4703	2888	3790	3523	2144	1966	2434	850	698	3550	2649	2132	852	2192	981	450	6335	939	2109	855	2636	648	3237	1168	3090	1474	1883	800	4296	4491	5993	3274	3511	1884	2750	9462	3071	3234	7276	3982	3528	8846	0	348	0	0	4755	461	0	200	17	327	0	0	0	0	0	0	424	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	1130	0	0	297	0	0	0	0	0	259	3	0	0	0	0	0	0	0	0	2659	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	112	22	0	0	0	3899	0	0	0	0	0	0	0	0	0	0	0	0	5122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv00010	23867	20877	20120	23217	19218	27301	14763	13706	18453	43770	13360	33521	24446	14837	10285	19376	35439	28354	21491	38250	37439	22329	12513	19409	43404	18542	21926	19440	26044	27565	16062	25504	46650	41827	68905	37631	35468	40510	21476	24850	10	26421	0	28187	998	11709	22	18393	0	18599	0	21825	674	17463	34	63825	0	45959	207	14094	62	9529	71	31855	690	9735	50	29115	308	10163	27	15748	12	4515	133	13247	1425	23172	5898	15125	24472	15129	37213	28773	21744	14888	15633	31155	21375	50010	34794	25197	20840	18191	29991	10073	28388	14627	43660	67	29437	37	27304	0	21742	45	15626	17342	0	19899	0	15282	36	20700	51	22950	0	27997	0	19208	336	18789	529	37465	13	15975	0	13515	0	19533	0	24611	0	17206	14789	83	31667	28040	26198	9910	18551	30212	29004	20012	50923	40093	28816	32000	25040	25515	23816	21894	18462	17877	21984	17316	31906	28365	22637	24190	20483	17369	15786	23719	16613	26787	14755	20384	22615	73878	18847	32120	20153	33223	17831	30934	24426	38062	14445	16957	22206	27245	27146	20357	21922	30658	13564	30519	25078	0	105	31	0	1756	111	850	4562	2521	713	0	0	0	1846	331	0	1625	0	0	29	0	327	0	641	0	4055	43	107	0	0	376	3364	687	376	0	468	167	2643	0	0	7	0	51	1013	2340	14	0	284	0	31	679	49	4365	0	10	0	0	0	6966	21	25557	210	0	0	0	0	2345	0	0	0	3556	17161	0	14459	0	0	0	0	6018	2058	15185	1259	3977	12786	0	830	985	2350	9918	0	13	0	3	0	162	1281	0	0	18	0	5	18370	0	25	45	0	119	14	87	176	39	0	324	0	24	0	0	105	0	51	19	0	6	140	0	188	25	0	22	256	0	71	86	413	8	0	0	0	0	185	302	6	136	111	0	0	2157	0	31	0	118	44	356	0	0	0	0	59	0	0	0	14	26	9	0	32	71	7	28	0	146	0	0	10	23	45	39	21	0	24	0	55
