asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
asv00001	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	LWQ8	uncultured_bacterium
asv00002	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	uncultured_bacterium
asv00003	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified
asv00004	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	unclassified
asv00005	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	uncultured_bacterium
asv00006	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
asv00007	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6	uncultured_bacterium
asv00008	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	unclassified
asv00009	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	uncultured_Ktedobacteria
asv00010	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified
asv00011	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Levybacteria	Candidatus_Levybacteria	Candidatus_Levybacteria	uncultured_bacterium
asv00012	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	unclassified
asv00013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	unclassified
asv00014	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa	Lineage_IIa	Lineage_IIa	unclassified
asv00015	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa	Lineage_IIa	Lineage_IIa	uncultured_bacterium
asv00016	Bacteria	Proteobacteria	Gammaproteobacteria	JG36-TzT-191	JG36-TzT-191	JG36-TzT-191	uncultured_bacterium
asv00017	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	unclassified
asv00018	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	uncultured_forest
asv00019	Bacteria	Chloroflexi	Anaerolineae	SBR1031	unclassified	unclassified	unclassified
asv00020	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
asv00021	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	unclassified	unclassified
asv00022	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	uncultured	uncultured_bacterium
asv00023	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	uncultured_Ktedobacteria
asv00024	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	uncultured_Caldilinea
asv00025	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae	uncultured_bacterium
asv00026	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
asv00027	Bacteria	Myxococcota	Myxococcia	Myxococcales	unclassified	unclassified	unclassified
asv00028	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	unclassified
asv00029	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	unclassified
asv00030	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	uncultured_Clostridiales
asv00031	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_Chloroflexi
asv00032	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	KD3-10	uncultured_bacterium
asv00033	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	unclassified
asv00034	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	unclassified	unclassified
asv00035	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	unclassified
asv00036	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydiaceae	uncultured_Chlamydiales
asv00037	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	uncultured_bacterium
asv00038	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Telmatospirillum	unclassified
asv00039	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
asv00040	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	unclassified
asv00041	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	uncultured_bacterium
asv00042	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	uncultured	uncultured_bacterium
asv00043	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured	unclassified
asv00044	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Babeliaceae	uncultured_bacterium
asv00045	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	unclassified
asv00046	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Thermosporothrix	uncultured_bacterium
asv00047	Bacteria	Dependentiae	Babeliae	Babeliales	unclassified	unclassified	unclassified
asv00048	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	unclassified	unclassified	unclassified
asv00049	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	unclassified	unclassified	unclassified
asv00050	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	uncultured_bacterium
asv00051	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	uncultured_bacterium
asv00052	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	unclassified
asv00053	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	unclassified	unclassified	unclassified
asv00054	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	unclassified
asv00055	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	metagenome
asv00056	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	unclassified
asv00057	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	uncultured_forest
asv00058	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_13	Subgroup_13	Subgroup_13	unclassified
asv00059	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	unclassified
asv00060	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_Syntrophobacteraceae
asv00061	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	unclassified	unclassified
asv00062	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	Planctomycetales_bacterium
asv00063	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	bacterium_enrichment
asv00064	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	unclassified
asv00065	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-2	uncultured_bacterium
asv00066	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	unclassified
asv00067	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	unclassified
asv00068	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Endonucleariobacter	unclassified
asv00069	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium
asv00070	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	unclassified
asv00071	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	unclassified
asv00072	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	metagenome
asv00073	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	unclassified
asv00074	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	unclassified	unclassified
asv00075	Bacteria	Firmicutes	Bacilli	Entomoplasmatales	type_III	type_III	uncultured_Mollicutes
asv00076	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	uncultured_bacterium
asv00077	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	uncultured_bacterium
asv00078	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	Aciditerrimonas_sp.
asv00079	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured_Thermomonosporaceae
asv00080	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	uncultured	metagenome
asv00081	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	CWT_CU03-E12	CWT_CU03-E12	unclassified
asv00082	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	unclassified
asv00083	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014	unclassified
asv00084	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	unclassified	unclassified
asv00085	Bacteria	Chloroflexi	Anaerolineae	unclassified	unclassified	unclassified	unclassified
asv00086	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	uncultured_bacterium
