sample	species	bodysite	strategy	season	replic
Vp_Ur_S1_S1	Vp	Ur	NDT	Early Rainy	Vp_Ur_S
Vp_Ur_S2_S2	Vp	Ur	NDT	Early Rainy	Vp_Ur_S
Vp_Ur_S3_S3	Vp	Ur	NDT	Early Rainy	Vp_Ur_S
Vp_Ur_S4_S4	Vp	Ur	NDT	Early Rainy	Vp_Ur_S
Vp_Ur_S5_S5	Vp	Ur	NDT	Early Rainy	Vp_Ur_S
Vp_Ur_F1_S6	Vp	Ur	NDT	Late Rainy	Vp_Ur_F
Vp_Ur_F2_S7	Vp	Ur	NDT	Late Rainy	Vp_Ur_F
Vp_Ur_F3_S8	Vp	Ur	NDT	Late Rainy	Vp_Ur_F
Vp_Ur_F4_S9	Vp	Ur	NDT	Late Rainy	Vp_Ur_F
Vp_Ur_F5_S10	Vp	Ur	NDT	Late Rainy	Vp_Ur_F
Vp_Ur_J1_S11	Vp	Ur	NDT	Early Dry	Vp_Ur_J
Vp_Ur_J2_S12	Vp	Ur	NDT	Early Dry	Vp_Ur_J
Vp_Ur_J3_S13	Vp	Ur	NDT	Early Dry	Vp_Ur_J
Vp_Ur_J4_S14	Vp	Ur	NDT	Early Dry	Vp_Ur_J
Vp_Ur_J5_S15	Vp	Ur	NDT	Early Dry	Vp_Ur_J
Vp_Ur_A1_S16	Vp	Ur	NDT	Late Dry	Vp_Ur_A
Vp_Ur_A2_S17	Vp	Ur	NDT	Late Dry	Vp_Ur_A
Vp_Ur_A3_S18	Vp	Ur	NDT	Late Dry	Vp_Ur_A
Vp_Ur_A4_S19	Vp	Ur	NDT	Late Dry	Vp_Ur_A
Vp_Ur_A5_S20	Vp	Ur	NDT	Late Dry	Vp_Ur_A
Vp_S_S1_S21	Vp	S	NDT	Early Rainy	Vp_S_S
Vp_S_S2_S22	Vp	S	NDT	Early Rainy	Vp_S_S
Vp_S_S3_S23	Vp	S	NDT	Early Rainy	Vp_S_S
Vp_S_S4_S24	Vp	S	NDT	Early Rainy	Vp_S_S
Vp_S_S5_S25	Vp	S	NDT	Early Rainy	Vp_S_S
Vp_S_F1_S26	Vp	S	NDT	Late Rainy	Vp_S_F
Vp_S_F2_S27	Vp	S	NDT	Late Rainy	Vp_S_F
Vp_S_F3_S28	Vp	S	NDT	Late Rainy	Vp_S_F
Vp_S_F4_S29	Vp	S	NDT	Late Rainy	Vp_S_F
Vp_S_F5_S30	Vp	S	NDT	Late Rainy	Vp_S_F
Vp_S_J1_S31	Vp	S	NDT	Early Dry	Vp_S_J
Vp_S_J2_S32	Vp	S	NDT	Early Dry	Vp_S_J
Vp_S_J3_S33	Vp	S	NDT	Early Dry	Vp_S_J
Vp_S_J4_S34	Vp	S	NDT	Early Dry	Vp_S_J
