#SampleID	combined	species	bodysite	strategy	month	season
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
Vp_Ur_S1_S1	Vp_Ur_S1_S1	Vp	Ur	NDT	September	Early rainy
Vp_Ur_S2_S2	Vp_Ur_S2_S2	Vp	Ur	NDT	September	Early rainy
Vp_Ur_S3_S3	Vp_Ur_S3_S3	Vp	Ur	NDT	September	Early rainy
Vp_Ur_S4_S4	Vp_Ur_S4_S4	Vp	Ur	NDT	September	Early rainy
Vp_Ur_S5_S5	Vp_Ur_S5_S5	Vp	Ur	NDT	September	Early rainy
Vp_Ur_F1_S6	Vp_Ur_F1_S6	Vp	Ur	NDT	February	Late rainy
Vp_Ur_F2_S7	Vp_Ur_F2_S7	Vp	Ur	NDT	February	Late rainy
Vp_Ur_F3_S8	Vp_Ur_F3_S8	Vp	Ur	NDT	February	Late rainy
Vp_Ur_F4_S9	Vp_Ur_F4_S9	Vp	Ur	NDT	February	Late rainy
Vp_Ur_F5_S10	Vp_Ur_F5_S10	Vp	Ur	NDT	February	Late rainy
Vp_Ur_J1_S11	Vp_Ur_J1_S11	Vp	Ur	NDT	June	Early dry
Vp_Ur_J2_S12	Vp_Ur_J2_S12	Vp	Ur	NDT	June	Early dry
Vp_Ur_J3_S13	Vp_Ur_J3_S13	Vp	Ur	NDT	June	Early dry
Vp_Ur_J4_S14	Vp_Ur_J4_S14	Vp	Ur	NDT	June	Early dry
Vp_Ur_J5_S15	Vp_Ur_J5_S15	Vp	Ur	NDT	June	Early dry
Vp_Ur_A1_S16	Vp_Ur_A1_S16	Vp	Ur	NDT	August	Late dry
Vp_Ur_A2_S17	Vp_Ur_A2_S17	Vp	Ur	NDT	August	Late dry
Vp_Ur_A3_S18	Vp_Ur_A3_S18	Vp	Ur	NDT	August	Late dry
Vp_Ur_A4_S19	Vp_Ur_A4_S19	Vp	Ur	NDT	August	Late dry
Vp_Ur_A5_S20	Vp_Ur_A5_S20	Vp	Ur	NDT	August	Late dry
Vp_S_S1_S21	Vp_S_S1_S21	Vp	S	NDT	September	Early rainy
Vp_S_S2_S22	Vp_S_S2_S22	Vp	S	NDT	September	Early rainy
Vp_S_S3_S23	Vp_S_S3_S23	Vp	S	NDT	September	Early rainy
Vp_S_S4_S24	Vp_S_S4_S24	Vp	S	NDT	September	Early rainy
Vp_S_S5_S25	Vp_S_S5_S25	Vp	S	NDT	September	Early rainy
Vp_S_F1_S26	Vp_S_F1_S26	Vp	S	NDT	February	Late rainy
Vp_S_F2_S27	Vp_S_F2_S27	Vp	S	NDT	February	Late rainy
Vp_S_F3_S28	Vp_S_F3_S28	Vp	S	NDT	February	Late rainy
Vp_S_F4_S29	Vp_S_F4_S29	Vp	S	NDT	February	Late rainy
Vp_S_F5_S30	Vp_S_F5_S30	Vp	S	NDT	February	Late rainy
Vp_S_J1_S31	Vp_S_J1_S31	Vp	S	NDT	June	Early dry
Vp_S_J2_S32	Vp_S_J2_S32	Vp	S	NDT	June	Early dry
Vp_S_J3_S33	Vp_S_J3_S33	Vp	S	NDT	June	Early dry
Vp_S_J4_S34	Vp_S_J4_S34	Vp	S	NDT	June	Early dry
Vp_S_J5_S35	Vp_S_J5_S35	Vp	S	NDT	June	Early dry
Vp_S_A1_S36	Vp_S_A1_S36	Vp	S	NDT	August	Late dry
Vp_S_A2_S37	Vp_S_A2_S37	Vp	S	NDT	August	Late dry
Vp_S_A3_S38	Vp_S_A3_S38	Vp	S	NDT	August	Late dry
Vp_S_A4_S39	Vp_S_A4_S39	Vp	S	NDT	August	Late dry
Vp_S_A5_S40	Vp_S_A5_S40	Vp	S	NDT	August	Late dry
Vn_Dsh_S1_S35_L001	Vn_Dsh_S1_S35	Vn	Dsh	DT	September	Early rainy
Vn_Dsh_S1_S35_L002	Vn_Dsh_S1_S35	Vn	Dsh	DT	September	Early rainy
Vn_Ur_S1_S41	Vn_Ur_S1_S41	Vn	Ur	DT	September	Early rainy
Vn_Dsh_S2_S43_L001	Vn_Dsh_S2_S43	Vn	Dsh	DT	September	Early rainy
Vn_Dsh_S2_S43_L002	Vn_Dsh_S2_S43	Vn	Dsh	DT	September	Early rainy
Vn_Ur_S2_S42	Vn_Ur_S2_S42	Vn	Ur	DT	September	Early rainy
Vn_Dsh_S3_S51_L001	Vn_Dsh_S3_S51	Vn	Dsh	DT	September	Early rainy
Vn_Dsh_S3_S51_L002	Vn_Dsh_S3_S51	Vn	Dsh	DT	September	Early rainy
Vn_Ur_S3_S43	Vn_Ur_S3_S43	Vn	Ur	DT	September	Early rainy
Vn_Dsh_S4_S59_L001	Vn_Dsh_S4_S59	Vn	Dsh	DT	September	Early rainy
Vn_Dsh_S4_S59_L002	Vn_Dsh_S4_S59	Vn	Dsh	DT	September	Early rainy
Vn_Ur_S4_S44	Vn_Ur_S4_S44	Vn	Ur	DT	September	Early rainy
Vn_Dsh_S5_S67_L001	Vn_Dsh_S5_S67	Vn	Dsh	DT	September	Early rainy
Vn_Dsh_S5_S67_L002	Vn_Dsh_S5_S67	Vn	Dsh	DT	September	Early rainy
Vn_Ur_S5_S45	Vn_Ur_S5_S45	Vn	Ur	DT	September	Early rainy
Vn_Dsh_F1_S75_L001	Vn_Dsh_F1_S75	Vn	Dsh	DT	February	Late rainy
Vn_Dsh_F1_S75_L002	Vn_Dsh_F1_S75	Vn	Dsh	DT	February	Late rainy
Vn_Ur_F1_S46	Vn_Ur_F1_S46	Vn	Ur	DT	February	Late rainy
Vn_Dsh_F2_S82_L001	Vn_Dsh_F2_S82	Vn	Dsh	DT	February	Late rainy
Vn_Dsh_F2_S82_L002	Vn_Dsh_F2_S82	Vn	Dsh	DT	February	Late rainy
Vn_Ur_F5_S47	Vn_Ur_F5_S47	Vn	Ur	DT	February	Late rainy
Vn_Dsh_F3_S89_L001	Vn_Dsh_F3_S89	Vn	Dsh	DT	February	Late rainy
Vn_Dsh_F3_S89_L002	Vn_Dsh_F3_S89	Vn	Dsh	DT	February	Late rainy
Vn_Ur_J1_S48	Vn_Ur_J1_S48	Vn	Ur	DT	June	Early dry
Vn_Dsh_F4_S5_L001	Vn_Dsh_F4_S5	Vn	Dsh	DT	February	Late rainy
Vn_Dsh_F4_S5_L002	Vn_Dsh_F4_S5	Vn	Dsh	DT	February	Late rainy
Vn_Ur_J2_S49	Vn_Ur_J2_S49	Vn	Ur	DT	June	Early dry
Vn_Dsh_F5_S12_L001	Vn_Dsh_F5_S12	Vn	Dsh	DT	February	Late rainy
Vn_Dsh_F5_S12_L002	Vn_Dsh_F5_S12	Vn	Dsh	DT	February	Late rainy
Vn_Ur_J3_S50	Vn_Ur_J3_S50	Vn	Ur	DT	June	Early dry
Vn_Dsh_J1_S20_L001	Vn_Dsh_J1_S20	Vn	Dsh	DT	June	Early dry
Vn_Dsh_J1_S20_L002	Vn_Dsh_J1_S20	Vn	Dsh	DT	June	Early dry
Vn_Ur_J4_S51	Vn_Ur_J4_S51	Vn	Ur	DT	June	Early dry
Vn_Dsh_J2_S28_L001	Vn_Dsh_J2_S28	Vn	Dsh	DT	June	Early dry
Vn_Dsh_J2_S28_L002	Vn_Dsh_J2_S28	Vn	Dsh	DT	June	Early dry
Vn_Ur_J5_S52	Vn_Ur_J5_S52	Vn	Ur	DT	June	Early dry
Vn_Dsh_J3_S36_L001	Vn_Dsh_J3_S36	Vn	Dsh	DT	June	Early dry
Vn_Dsh_J3_S36_L002	Vn_Dsh_J3_S36	Vn	Dsh	DT	June	Early dry
Vn_Ur_A1_S53	Vn_Ur_A1_S53	Vn	Ur	DT	August	Late dry
Vn_Dsh_J4_S44_L001	Vn_Dsh_J4_S44	Vn	Dsh	DT	June	Early dry
Vn_Dsh_J4_S44_L002	Vn_Dsh_J4_S44	Vn	Dsh	DT	June	Early dry
Vn_Ur_A2_S54	Vn_Ur_A2_S54	Vn	Ur	DT	August	Late dry
Vn_Dsh_J5_S52_L001	Vn_Dsh_J5_S52	Vn	Dsh	DT	June	Early dry
Vn_Dsh_J5_S52_L002	Vn_Dsh_J5_S52	Vn	Dsh	DT	June	Early dry
Vn_Ur_A3_S55	Vn_Ur_A3_S55	Vn	Ur	DT	August	Late dry
Vn_Dsh_A1_S60_L001	Vn_Dsh_A1_S60	Vn	Dsh	DT	August	Late dry
Vn_Dsh_A1_S60_L002	Vn_Dsh_A1_S60	Vn	Dsh	DT	August	Late dry
Vn_Ur_A4_S56	Vn_Ur_A4_S56	Vn	Ur	DT	August	Late dry
Vn_Dsh_A2_S68_L001	Vn_Dsh_A2_S68	Vn	Dsh	DT	August	Late dry
Vn_Dsh_A2_S68_L002	Vn_Dsh_A2_S68	Vn	Dsh	DT	August	Late dry
Vn_Ur_A5_S57	Vn_Ur_A5_S57	Vn	Ur	DT	August	Late dry
Vn_Dsh_A3_S76_L001	Vn_Dsh_A3_S76	Vn	Dsh	DT	August	Late dry
Vn_Dsh_A3_S76_L002	Vn_Dsh_A3_S76	Vn	Dsh	DT	August	Late dry
Vn_S_S1_S58	Vn_S_S1_S58	Vn	S	DT	September	Early rainy
Vn_Dsh_A4_S83_L001	Vn_Dsh_A4_S83	Vn	Dsh	DT	August	Late dry
Vn_Dsh_A4_S83_L002	Vn_Dsh_A4_S83	Vn	Dsh	DT	August	Late dry
Vn_S_S2_S59	Vn_S_S2_S59	Vn	S	DT	September	Early rainy
Vn_S_S3_S60	Vn_S_S3_S60	Vn	S	DT	September	Early rainy
Vn_S_S4_S61	Vn_S_S4_S61	Vn	S	DT	September	Early rainy
Vn_S_F1_S62	Vn_S_F1_S62	Vn	S	DT	February	Late rainy
Vn_S_F2_S63	Vn_S_F2_S63	Vn	S	DT	February	Late rainy
Vn_S_F3_S64	Vn_S_F3_S64	Vn	S	DT	February	Late rainy
Vn_S_F4_S65	Vn_S_F4_S65	Vn	S	DT	February	Late rainy
Vn_S_F5_S66	Vn_S_F5_S66	Vn	S	DT	February	Late rainy
Vn_S_J1_S67	Vn_S_J1_S67	Vn	S	DT	June	Early dry
Vn_S_J2_S68	Vn_S_J2_S68	Vn	S	DT	June	Early dry
Vn_S_J3_S69	Vn_S_J3_S69	Vn	S	DT	June	Early dry
Vn_S_J4_S70	Vn_S_J4_S70	Vn	S	DT	June	Early dry
Vn_S_J5_S71	Vn_S_J5_S71	Vn	S	DT	June	Early dry
Vn_S_A1_S72	Vn_S_A1_S72	Vn	S	DT	August	Late dry
Vn_S_A2_S73	Vn_S_A2_S73	Vn	S	DT	August	Late dry
Vn_S_A3_S74	Vn_S_A3_S74	Vn	S	DT	August	Late dry
Vn_S_A4_S75	Vn_S_A4_S75	Vn	S	DT	August	Late dry
Vn_S_A5_S76	Vn_S_A5_S76	Vn	S	DT	August	Late dry
Vt_Ur_S1_S77	Vt_Ur_S1_S77	Vt	Ur	DT	September	Early rainy
Vt_Ur_S2_S78	Vt_Ur_S2_S78	Vt	Ur	DT	September	Early rainy
Vt_Ur_S3_S79	Vt_Ur_S3_S79	Vt	Ur	DT	September	Early rainy
Vt_Ur_S4_S80	Vt_Ur_S4_S80	Vt	Ur	DT	September	Early rainy
Vn_Ar_S1_S70_L001	Vn_Ar_S1_S70	Vn	Ar	DT	September	Early rainy
Vn_Ar_S1_S70_L002	Vn_Ar_S1_S70	Vn	Ar	DT	September	Early rainy
Vt_Ur_S5_S81	Vt_Ur_S5_S81	Vt	Ur	DT	September	Early rainy
Vn_Ar_S2_S78_L001	Vn_Ar_S2_S78	Vn	Ar	DT	September	Early rainy
Vn_Ar_S2_S78_L002	Vn_Ar_S2_S78	Vn	Ar	DT	September	Early rainy
Vt_Ur_F1_S82	Vt_Ur_F1_S82	Vt	Ur	DT	February	Late rainy
Vn_Ar_S3_S85_L001	Vn_Ar_S3_S85	Vn	Ar	DT	September	Early rainy
Vn_Ar_S3_S85_L002	Vn_Ar_S3_S85	Vn	Ar	DT	September	Early rainy
Vt_Ur_F2_S83	Vt_Ur_F2_S83	Vt	Ur	DT	February	Late rainy
Vn_Ar_S4_S92_L001	Vn_Ar_S4_S92	Vn	Ar	DT	September	Early rainy
Vn_Ar_S4_S92_L002	Vn_Ar_S4_S92	Vn	Ar	DT	September	Early rainy
Vt_Ur_F3_S84	Vt_Ur_F3_S84	Vt	Ur	DT	February	Late rainy
Vt_Ur_F4_S85	Vt_Ur_F4_S85	Vt	Ur	DT	February	Late rainy
Vn_Ar_F1_S15_L001	Vn_Ar_F1_S15	Vn	Ar	DT	February	Late rainy
Vn_Ar_F1_S15_L002	Vn_Ar_F1_S15	Vn	Ar	DT	February	Late rainy
Vt_Ur_F5_S86	Vt_Ur_F5_S86	Vt	Ur	DT	February	Late rainy
Vn_Ar_F2_S23_L001	Vn_Ar_F2_S23	Vn	Ar	DT	February	Late rainy
Vn_Ar_F2_S23_L002	Vn_Ar_F2_S23	Vn	Ar	DT	February	Late rainy
Vt_Ur_J1_S87	Vt_Ur_J1_S87	Vt	Ur	DT	June	Early dry
Vn_Ar_F3_S31_L001	Vn_Ar_F3_S31	Vn	Ar	DT	February	Late rainy
Vn_Ar_F3_S31_L002	Vn_Ar_F3_S31	Vn	Ar	DT	February	Late rainy
Vt_Ur_J2_S88	Vt_Ur_J2_S88	Vt	Ur	DT	June	Early dry
Vn_Ar_F4_S39_L001	Vn_Ar_F4_S39	Vn	Ar	DT	February	Late rainy
Vn_Ar_F4_S39_L002	Vn_Ar_F4_S39	Vn	Ar	DT	February	Late rainy
Vt_Ur_J3_S89	Vt_Ur_J3_S89	Vt	Ur	DT	June	Early dry
Vn_Ar_F5_S47_L001	Vn_Ar_F5_S47	Vn	Ar	DT	February	Late rainy
