feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.2942..L.lysine.biosynthesis.III	season	rainy	62.9048	1.45263865429059	38	19	5.40542673274991e-32	4.70272125749242e-29
PWY.6629..superpathway.of.L.tryptophan.biosynthesis	season	rainy	-43.3475210526316	1.26385876778367	38	29	1.5735528911321e-28	6.84495507642463e-26
TRPSYN.PWY..L.tryptophan.biosynthesis	season	rainy	-38.244685368421	1.38167353989858	38	29	2.19722807841945e-25	6.371961427416419e-23
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast	season	rainy	4.39671842105263	0.243076614712445	38	24	2.4428069671197297e-19	5.3131051534854205e-17
PWY.7255..ergothioneine.biosynthesis.I..bacteria.	season	rainy	8.58008315789473	0.499998451120172	38	19	1.2857232051218499e-18	2.23715837691203e-16
PWY.7185..UTP.and.CTP.dephosphorylation.I	season	rainy	-2.71558578947368	0.386137530532982	38	17	3.46700071277835e-8	5.02715103352861e-6
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I	strategy	DT	-6.113037	0.884510777915489	38	38	4.97547019588467e-8	5.49828667776595e-6
PWY.7254..TCA.cycle.VII..acetate.producers.	strategy	DT	-9.5671061111111	1.38536782524853	38	38	5.05589579564685e-8	5.49828667776595e-6
PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation	strategy	DT	-6.67747777777778	1.01189116659055	38	38	1.26569277753101e-7	1.22350301827997e-5
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	strategy	DT	-23.7815322222222	3.79579353389355	38	38	3.45920180657062e-7	3.00950557171644e-5
PWY.5941..glycogen.degradation.II	strategy	DT	-23.9392222222222	4.02965874640377	38	38	9.2407688243627e-7	7.22719465763718e-5
PWY.7345..superpathway.of.anaerobic.sucrose.degradation	strategy	DT	-5.38724322222222	0.910657857064909	38	37	9.96854435536163e-7	7.22719465763718e-5
PWY.7731..superpathway.of.photosynthetic.hydrogen.production	season	rainy	3.03873831578947	0.516393663985405	38	38	1.09596315783301e-6	7.3345226716517e-5
PWY.7238..sucrose.biosynthesis.II	strategy	DT	-23.0116905555556	3.93584759689185	38	38	1.22938829430175e-6	7.63977011458942e-5
