# Pathway	VNF1S288	VNF2S289	VNF3S290	VNF4S291	VNF5S292	VTF1S293	VTF2S294	VTF3S295	VTF4S296	VTF5S297	VIF1S283	VIF2S284	VIF3S285	VIF4S286	VPF1S287	VPF2S288	VPF3S289	VPF4S290	VPF5S291	VNA1S233	VNA2S234	VNA3S235	VNA4S236	VNA5S237	VTA1S238	VTA2S239	VTA3S240	VTA4S241	VTA5S242	VIA1S243	VIA2S244	VIA3S245	VIA4S246	VIA5S247	VPA1S248	VPA2S249	VPA3S250	VPA4S251
season	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry
strategy	DT	DT	DT	DT	DT	DT	DT	DT	DT	DT	NDT	NDT	NDT	NDT	NDT	NDT	NDT	NDT	NDT	DT	DT	DT	DT	DT	DT	DT	DT	DT	DT	NDT	NDT	NDT	NDT	NDT	NDT	NDT	NDT	NDT
UNMAPPED	885142	885150	882736	877639	885698	883413	883413	884972	895291	888047	871888	896131	880734	886303	880737	880737	871510	887332	886986	898601	898381	898651	903239	894127	897751	894473	895525	893124	884419	888141	877209	884528	876734	884756	881276	877344	906181	875488
UNINTEGRATED	104220	104222	107327	111638	104002	106899	106899	105725	95595.4	102465	117449	95476.8	109529	103679	109617	109617	117487	103381	103729	92541.2	92674.5	92235.4	88087.2	96773.8	93220.3	95745.7	95738.7	97842.8	105723	102099	112420	105798	113017	105432	108687	112122	86001.6	114305
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.889721	0.890633	1.292	1.55793	2.32961	1.5075	1.5075	2.00485	1.5166	2.06622	3.2636	1.35515	2.14194	2.20381	3.4589	3.45891	3.73003	3.14899	2.38909	1.74714	1.01135	2.18325	0.841041	2.05389	2.17984	1.71587	2.94732	2.14532	3.74626	2.58555	3.91009	2.45791	4.50452	2.15953	4.66766	2.68436	2.8579	3.94871
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation	0.535906	0.536456	0	0.134323	0.845157	0	0	0.192491	0	0	0.226536	0	0.178232	0.628209	0.361708	0.361708	0.463168	0.66264	0.144872	0	0	0	0	0	0.786201	0	0.22878	0	1.24791	0.882781	0.390124	0	0	0	0.957548	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	20.0608	20.0673	16.0182	19.324	21.6543	14.9048	14.9048	23.1535	12.8999	24.3055	19.3927	12.8081	16.7061	23.7545	21.0376	21.0376	22.5833	17.9598	14.7956	6.73203	7.96573	9.73346	5.01398	18.7812	19.8442	13.455	16.3701	13.3149	20.0621	21.4048	21.4261	22.1945	22.787	16.7092	18.3246	18.6882	12.3057	21.3056
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0.744937	0	0	0	0	0.896897	0.607381	0	1.05862	0	1.03385	0.865957	0.584385	0.584385	0.818173	1.07728	0.959885	0	0	0.467877	0	0	1.21841	0	0	0	0.695648	1.00992	0	1.08543	1.47099	0	0	1.35769	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	5.03185	5.03701	4.99355	4.01202	4.36129	4.7563	4.7563	4.93817	5.2877	5.15473	5.8893	3.11546	6.24579	5.51023	4.34945	4.34945	5.63737	3.82323	4.01452	0	0	0	0	0	0	1.55228	0	1.26445	1.45885	0	1.92622	0	0	0	0	0	0	1.52427
ANAEROFRUCAT-PWY: homolactic fermentation	36.3258	35.4257	30.8511	37.4646	31.9681	32.7916	32.7916	33.8856	31.4751	29.4813	34.8131	29.6722	29.8245	32.8087	31.6701	31.6701	37.7331	32.0402	30.5538	27.5264	26.9718	24.7731	25.7021	26.8695	29.8111	31.9051	29.9878	30.5266	34.0433	30.9994	33.4112	32.6377	36.1089	32.4287	30.7373	35.338	26.9539	31.4906
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	62.7662	62.7766	60.0283	72.0373	59.7057	64.5569	64.5569	59.9605	59.1761	57.1745	70.0044	57.7639	61.8889	60.7866	65.3559	65.3559	71.8185	61.0985	61.5801	59.5351	54.3479	61.4955	53.0549	58.1607	60.5177	65.0096	54.6013	57.5162	63.8367	57.9441	65.0225	57.7647	65.0064	56.3332	63.6557	69.8127	49.3109	65.5781
ARG???SYN: superpathway of arginine and polyamine biosynthesis	24.9809	25.0069	19.2206	21.8901	20.8241	18.4011	18.4011	19.6961	21.1268	22.3152	21.1334	13.6318	16.9479	21.1867	17.0908	17.0908	26.0961	19.4959	19.0562	19.6481	18.458	16.7133	7.59544	18.823	17.3565	23.2031	21.3729	20.0151	21.6691	17.7775	21.5148	14.8367	19.6479	17.1344	21.726	22.3344	18.219	18.3869
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	21.2164	21.2382	22.4723	25.2133	22.9253	24.4245	24.4245	22.4204	20.0406	17.448	22.0032	16.9057	19.6438	21.3468	19.6333	19.6333	25.6044	20.6845	20.5913	17.9172	12.2867	24.3023	16.1809	21.6348	12.4633	21.5679	21.7581	18.9037	23.4412	21.5078	19.1415	22.1407	24.3433	25.0287	22.0321	21.9863	11.6374	20.9179
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	107.548	107.673	101.641	106.01	104.872	98.1113	98.1113	91.1236	91.2648	89.1606	100.742	76.1593	90.6703	97.6458	87.4006	87.4006	99.9567	86.3004	85.3041	92.1782	95.116	84.0359	98.098	90.9195	88.2343	97.2401	82.9191	93.2255	93.8944	96.0053	99.0104	96.9596	97.5978	99.6078	94.2588	100.979	74.5459	97.2118
